project,id,sentence,patterns,ob,eb,sr,label,new_label,Unnamed: 9,predicted_ob,predicted_eb,predicted_sr,predicted_label,Unnamed: 14,bee_ob,bee_eb,bee_sr,bee_label
docker,10166,"## Step 2: Using ```docker logs``` to show the above logs, but **nothing** found.","S_OB_BUT_NEG,S_SR_GERUND_ACTION",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,10738,I have a my startup script that looks like this but when I run this using docker run command I get the Exec format errors.,"S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,11087,The issue happens when you are running with `--pid=host` and you do a SIGKILL but that process has children that don't terminate when its parent dies.,"S_OB_NEG_COND,S_OB_NEG_AUX_VERB,S_OB_HAPPENS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,11087,Now you do a `docker stop` or any action and Docker will complain that it can't find the process.,"S_OB_NEG_AUX_VERB,S_SR_SIMPLE_PRESENT_SUBORDINATES,",1,0,1,5,5,,1,0,0,1,,1,0,0,1
docker,11087,"Now if you restart the Docker daemon, Docker thinks the container is gone (I assume because the PID is gone) and then it will start a new one but the old container cgroup still exists.","S_OB_COND_NEG,S_OB_STILL,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,12158,Sending kill signal to the Linux process (like `top`) while attached to a container (either with `attach`/`exec` or `run -i -t`) from Windows CLI terminates the docker.exe.,S_SR_GERUND_ACTION,1,0,1,5,3,,0,0,0,0,,0,0,0,0
docker,14175,"Hi,
I have faced this problem, when I mount a host directory to a container:
`docker run -it -v /home/share:/home/share centos /bin/bash`","S_OB_VERB_ERROR,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,0,0
docker,14496,"I know nothing about Docker....
Trying to load docker image by ""sudo docker load -i symdrive.tar.gz"" but getting following error","S_OB_VERB_ERROR,S_OB_BUT_NEG,S_SR_TRY,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,15997,Some examples;,P_OB_ERROR_TERMS_PARAGRAPH,1,0,1,5,1,,1,0,0,1,,0,0,0,0
docker,15997,"After restarting the daemon, volume `foobar2` is no longer visible.","S_OB_NO_LONGER,S_OB_AFTER_NEG,S_SR_AFTER",1,0,1,5,5,,1,0,0,1,,1,0,0,1
docker,16114,"If I run multiple docker command within 3sec, there is no delay on the second docker command.",P_OB_DESCRIPTION,1,0,1,5,1,,1,0,1,5,,1,0,1,5
docker,18841,"docker overlay network lost when reboot,recreate error:","S_OB_NEG_COND,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,19214,"If you've done a docker login, you'll get a base64 encoded json file which looks like:","S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,19214,"If you then do a docker logout, you'll get:","S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,1985,"and then press ctrl-c, then the docker daemon dies with:
2013/09/24 14:28:38 Received signal 'terminated', exiting","S_OB_NEG_VERB,P_SR_COND_CODE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,20469,The above will complain that there's an active container running.,S_OB_NEG_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,20469,Run `docker ps` and `docker images` and note how the image you used in Step 1 is still labeled correctly.,P_SR_LABELED_LIST,1,0,1,5,3,,0,0,1,4,,0,0,0,0
docker,20469,The above will complain that there's an active container running.,S_OB_NEG_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,20469,"However, now when you run `docker ps` and `docker images`, the image is now untagged.","S_OB_BUT,S_OB_PASSIVE_VOICE,P_SR_LABELED_LIST",1,0,1,5,5,,1,0,1,5,,0,0,1,4
docker,20586,"Whenever I try any docker commands (`ps`, `info`, `version`) the command hangs.","S_OB_COND_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,22358,"When I specify [logger tag](https://docs.docker.com/engine/admin/logging/log_tags/) for application running in docker container, I expect all messages of application will have exact same tag, but actually every message tag prefixed with `docker/`.","S_OB_BUT,S_EB_EXPECTED",1,1,0,4,5,,0,0,0,0,,1,0,0,1
docker,23302,But when I try to `docker stop/rm` any of these two containers (either by name or ID) I got:,"S_OB_COND_POS,S_SR_COND_OBS,",1,0,1,5,5,,0,0,1,4,,1,0,0,1
docker,2619,"If I push an image called bmorearty/xyz and then I make a brand new image (not based on the first one) and run `docker push bmorearty/xyz` again, the registry allows it.","S_OB_COND_POS,S_OB_ALLOW,S_SR_COND_OBS,",1,0,1,5,5,,0,0,0,0,,1,0,0,1
docker,2778,"When running an improper command the shell breaks (no characters appear when typing, hitting enter does not post newline).","S_OB_COND_NEG,S_OB_NO_NOUN,S_OB_NEG_AUX_VERB",1,0,1,5,1,,1,0,0,1,,1,0,0,1
docker,338,Now when I run make in the root of the repo I get the error in [1].,"S_OB_VERB_ERROR,S_OB_COND_NEG,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4046,"Since I switched to v0.8.0, when committing a container via the REST API (`docker commit` but not `docker build`) at least the `Entrypoint` and `Cmd` parameters appear to be ignored.","S_OB_COND_NEG,S_OB_SEEMS_TO_BE,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4614,getting errors running npm install after switching users within the Dockerfile:,"S_OB_VERB_ERROR,S_OB_NEG_AFTER,S_SR_CODE_REF,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,4797,"Image is ""-9223372036854776000"" (hex: -0x80000000000000c0L), but `docker inspect` (or`curl /containers/09906a9649d279dc7991dd1e58dbdcc372f9f9e14304549628fbcef21c398785/json`) shows the correct image hash:","S_OB_BUT,S_EB_BUT_CORRECT,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
docker,6612,An image built with this `Dockerfile`:,"S_SR_CODE_REF,P_OB_ERROR_TERMS_PARAGRAPH",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,7727,"* I was expecting `--quiet` to suppress that output, but it only removes the output from commands run in containers, not the rest of the client's output.","S_OB_BUT,S_OB_ONLY,S_EB_EXPECTED",1,1,0,4,4,,1,1,0,3,,1,1,0,3
docker,8642,"However, with Docker 1.3.0, the `stdin` connection is kept alive and never closed when running this same command -- ie, `hi` is printed and then the stdin connection is locked.","S_OB_BUT_NEG,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,8686,running a docker in docker will result in a not clean enviroment,S_OB_LEADS_TO_NEG,1,0,1,5,1,,0,0,0,0,,1,0,0,1
docker,9058,"The ""docker run"" command flag ""device"" does not preserve the localhost device group when copied into the docker container.","S_OB_NEG_AUX_VERB,S_SR_COND_OBS,",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,943,"in the repository root produces the following output:
https://gist.github.com/hansent/5815177",S_OB_LEADS_TO,1,0,1,5,1,,1,0,1,5,,0,0,0,0
docker,943,"I tried changing the ADD to INSERT and giving it the raw.github url for the supervisord config, but that got me:
 Error build: INSERT has been deprecated.","S_OB_VERB_ERROR,S_SR_TRY",1,0,1,5,5,,1,0,1,5,,1,0,1,5
docker,9472,"when i restart docker闂?log is like that闂?""S_SR_COND_OBS",P_OB_LOG_CONTAINS,1,0,1,5,3,,1,0,0,1,,1,0,1,5
eclipse,102620,"In the CVS Repository Exploring perspective, if you select ""Compare With"" on a
branch or version, it eventually opens a ""Structured Compare"" window showing all
the changes.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,104448,"The filter section makes the wizard too long
A workbook should be created on the import page; first tab should be the range 
options and the second tab will be the filters","S_EB_SHOULD,",1,1,0,4,2,,0,0,0,0,,0,0,0,0
eclipse,106554,The program should output 1 but it outputs null instead.,"S_OB_BUT_NEG,S_EB_SHOULD,",1,1,0,4,4,,1,1,0,3,,1,1,0,3
eclipse,116715,Actual: Undo is not available.,S_OB_NEG_AUX_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,116715,Ctrl-Z does not undo the action.,"S_OB_NEG_AUX_VERB,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,116715,Actual: Undo is not available.,S_OB_NEG_AUX_VERB,1,0,1,5,1,,1,0,0,1,,1,0,0,1
eclipse,116715,Ctrl-Z does not undo the action.,P_SR_ACTIONS_MULTI_OBS_BEHAVIOR,1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,125135,When saving a file (even if I only add a blank to it) I see a CPU consumption of 100% for about 1 - 2 sec on my machine.,"S_OB_COND_POS,S_OB_FOR_TIME,S_OB_DESPITE,S_SR_COND_OBS",1,0,1,5,5,,1,0,0,1,,1,0,1,5
eclipse,125350,"Similarly, when I de-maximize, I see the upper left corner of a too-large rendering.","S_OB_TOO,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,135728,When I have a project which is associated with a subversion repository the team context menu is empty when I click on the project.,"S_OB_COND_NEG,S_SR_COND_OBS,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,135728,If I select any resource below the project root the team context menu shows up normal.,"S_SR_COND_OBS,P_SR_COND_SEQUENCE",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,139083,"Upon opening the editor, the prior version showed back up.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,139083,"When I opened the editor the second time, only the version were displayed on the editor.","S_OB_COND_POS,S_SR_COND_OBS",1,0,1,5,5,,1,0,1,5,,1,0,1,5
eclipse,150,"While merging changes from my stream into HEAD, I had to merge a couple of conflicts.",P_SR_COND_SEQUENCE,1,0,1,5,3,,0,0,0,0,,1,0,0,1
