project,id,sentence,patterns,ob,eb,sr,label
docker,10166,Docker dosen't log exec commands.,S_OB_NEG_AUX_VERB,1,0,0,1
docker,10166,## Step 1: Using ```docker exec``` to login a container and execute some commands,S_SR_GERUND_ACTION,0,0,1,3
docker,10166,~/learn/docker 缁?docker exec -it Easons.Debian su - e,,0,0,0,0
docker,10166,e@eba14468301a:~$ la,,0,0,0,0
docker,10166,total 32,,0,0,0,0
docker,10166,drwxr-xr-x 3 e sudo 4096 Jan 18 09:21 .,,0,0,0,0
docker,10166,drwxr-xr-x 4 root root 4096 Jan 18 08:49 .,,0,0,0,0
docker,10166,-rw------- 1 e sudo 524 Jan 18 09:16 .,,0,0,0,0
docker,10166,bash_history,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 95 Jan 18 09:06 .,,0,0,0,0
docker,10166,bash_profile,,0,0,0,0
docker,10166,-rw------- 1 e sudo 1816 Jan 18 09:16 .,,0,0,0,0
docker,10166,viminfo,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 8 Jan 18 09:16 b,,0,0,0,0
docker,10166,drwxr-xr-x 2 e sudo 4096 Jan 18 08:59 eason,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 20 Jan 13 09:24 love.log,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 0 Jan 18 09:21 test.log,,0,0,0,0
docker,10166,e@eba14468301a:~$ vim test.log,,0,0,0,0
docker,10166,e@eba14468301a:~$ ll,,0,0,0,0
docker,10166,total 16,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 8 Jan 18 09:16 b,,0,0,0,0
docker,10166,drwxr-xr-x 2 e sudo 4096 Jan 18 08:59 eason,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 20 Jan 13 09:24 love.log,,0,0,0,0
docker,10166,-rw-r--r-- 1 e sudo 41 Jan 18 09:48 test.log,,0,0,0,0
docker,10166,e@eba14468301a:~$ exit,,0,0,0,0
docker,10166,logout,,0,0,0,0
docker,10166,"## Step 2: Using ```docker logs``` to show the above logs, but **nothing** found.","S_OB_BUT_NEG,S_SR_GERUND_ACTION",1,0,1,5
docker,10166,### **Thus I think it may be a bug of docker that should be confirmed.,,0,0,0,0
docker,10166,"(NOTE: Following logs were logged by ```docker attach``` commands, but NOT by ```docker exec```)",S_OB_BUT_NEG,1,0,0,1
docker,10166,~/learn/docker 缁?docker logs Easons.Debian,,0,0,0,0
docker,10166,root@eba14468301a:/# whoami,,0,0,0,0
docker,10166,root,,0,0,0,0
docker,10166,root@eba14468301a:/# pwd,,0,0,0,0
docker,10166,~/learn/docker 缁?0;95;c0;95;c0;95;c0;95;c0;95;c,,0,0,0,0
docker,10166,## My docker version info,,0,0,0,0
docker,10166,~/learn/docker 缁?boot2docker version taoheming@Eason,,0,0,0,0
docker,10166,Boot2Docker-cli version: v1.4.1,,0,0,0,0
docker,10166,Git commit: 43241cb,,0,0,0,0
docker,10166,~/learn/docker 缁?docker version,,0,0,0,0
docker,10166,Client version: 1.4.1,,0,0,0,0
docker,10166,Client API version: 1.16,,0,0,0,0
docker,10166,Go version (client): go1.4,,0,0,0,0
docker,10166,Git commit (client): 5bc2ff8,,0,0,0,0
docker,10166,OS/Arch (client): darwin/amd64,,0,0,0,0
docker,10166,Server version: 1.4.1,,0,0,0,0
docker,10166,Server API version: 1.16,,0,0,0,0
docker,10166,Go version (server): go1.3.3,,0,0,0,0
docker,10166,Git commit (server): 5bc2ff8,,0,0,0,0
docker,10166,## My docker container and image info,,0,0,0,0
docker,10166,~/learn/docker 缁?docker ps -a | grep Easons.Debian,,0,0,0,0
docker,10166,"eba14468301a eason/debian:debian_with_e ""/bin/bash"" 2 hours ago Up 2 hours Easons.Debian",,0,0,0,0
docker,10166,~/learn/docker 缁?docker history eason/debian:debian_with_e,,0,0,0,0
docker,10166,IMAGE CREATED CREATED BY SIZE,,0,0,0,0
docker,10166,9c2d9d50db1d 5 days ago /bin/bash 328.8 kB,,0,0,0,0
docker,10166,479215127fa7 2 weeks ago /bin/sh -c #(nop) CMD [/bin/bash] 0 B,,0,0,0,0
docker,10166,1aeada447715 2 weeks ago /bin/sh -c #(nop) ADD file:953478996ebb6e3453 84.99 MB,,0,0,0,0
docker,10166,511136ea3c5a 19 months ago 0 B,,0,0,0,0
docker,10166,~/learn/docker 缁?docker images,,0,0,0,0
docker,10166,REPOSITORY TAG IMAGE ID CREATED VIRTUAL SIZE,,0,0,0,0
docker,10166,vitess/root latest e848ca8ec47d 2 days ago 1.231 GB,,0,0,0,0
docker,10166,eason/debian debian_with_e 9c2d9d50db1d 5 days ago 85.32 MB,,0,0,0,0
docker,10166,mysql latest 310c359af360 8 days ago 282.6 MB,,0,0,0,0
docker,10166,golang 1.3-wheezy ce4f6aeb7d00 2 weeks ago 374.1 MB,,0,0,0,0
docker,10166,debian latest 479215127fa7 2 weeks ago 84.99 MB,,0,0,0,0
docker,10166,ubuntu latest 8eaa4ff06b53 2 weeks ago 188.3 MB,,0,0,0,0
docker,10166,hello-world latest e45a5af57b00 2 weeks ago 910 B,,0,0,0,0
docker,10166,dockerfiles/django-uwsgi-nginx latest 184bcb8fc8d3 13 months ago 925.5 MB,,0,0,0,0
docker,10258,Docker push in v1.4.1 doesn't work against private registry running behind nginx ssl proxy (with suggested config),S_OB_NEG_AUX_VERB,1,0,0,1
docker,10258,"When pushing against a private registry (running v0.9.1), it fails with the following message:","S_OB_COND_NEG,",1,0,0,1
docker,10258,"```shell
FATA[0051] mux: variable ""hcg-uwsgi"" doesn't match, expected ""^(?",,0,0,0,0
docker,10258,:[a-z0-9]+(?,,0,0,0,0
docker,10258,:[.,,0,0,0,0
docker,10258,"_-][a-z0-9]+)*/){1,4}[a-z0-9]+(?",,0,0,0,0
docker,10258,:[.,,0,0,0,0
docker,10258,"_-][a-z0-9]+)*$"" 
```",,0,0,0,0
docker,10258,commands run:,,0,0,0,0
docker,10258,"```shell
docker tag hcg-uwsgi docker.example.com/hcg-uwsgi:latest
docker --debug=true push docker.example.com/hcg-uwsgi
````",P_SR_LABELED_CODE_FRAGS,0,0,1,3
docker,10258,The reason is because v1.4.1 attempts to hit ``https://docker.example.com/v2/``.,,0,0,0,0
docker,10258,"With the suggested nginx config (https://github.com/docker/docker-registry/blob/f96d5ec35a797953cee18a35410e5c0cd5394e56/contrib/nginx/nginx_1-3-9.conf#L30), this returns a 401 (unauthorized).","S_OB_VERB_ERROR,S_OB_OUTPUT_VERB",1,0,0,1
docker,10258,"Forcing a 404 for the ``/v2/`` url makes docker v1.4.1 fallback to the ``/v1/`` restful endpoint, and everything works great.","S_OB_WORKS_FINE,",1,0,0,1
docker,10258,Example:,P_SR_LABELED_CODE_FRAGS,0,0,1,3
docker,10258,"```nginx
 location /v2/ {
 auth_basic off;
 return 404;
 }
```",P_SR_LABELED_CODE_FRAGS,0,0,1,3
docker,10258,Output of ``docker info``:,,0,0,0,0
docker,10258,```shell,,0,0,0,0
docker,10258,Containers: 22,,0,0,0,0
docker,10258,Images: 120,,0,0,0,0
docker,10258,Storage Driver: devicemapper,,0,0,0,0
docker,10258, Pool Name: docker-253:0-1194892-pool,,0,0,0,0
docker,10258, Pool Blocksize: 65.54 kB,,0,0,0,0
docker,10258, Backing Filesystem: extfs,,0,0,0,0
docker,10258, Data file: /dev/loop0,,0,0,0,0
docker,10258, Metadata file: /dev/loop1,,0,0,0,0
docker,10258, Data Space Used: 4.443 GB,,0,0,0,0
docker,10258, Data Space Total: 107.4 GB,,0,0,0,0
docker,10258, Metadata Space Used: 7.512 MB,,0,0,0,0
docker,10258, Metadata Space Total: 2.147 GB,,0,0,0,0
docker,10258, Udev Sync Supported: false,,0,0,0,0
docker,10258, Data loop file: /var/lib/docker/devicemapper/devicemapper/data,,0,0,0,0
docker,10258, Metadata loop file: /var/lib/docker/devicemapper/devicemapper/metadata,,0,0,0,0
docker,10258, Library Version: 1.02.82-git (2013-10-04),,0,0,0,0
docker,10258,Execution Driver: native-0.2,,0,0,0,0
